1000 1
985 636 1000000000
669 637 999999995
127 638 999999993
919 639 999999996
245 640 999999990
208 641 999999994
388 642 999999993
547 643 1000000000
344 644 999999997
538 645 999999995
499 646 999999997
589 647 999999999
281 648 999999995
538 649 999999992
50 650 999999996
100 651 999999995
956 652 999999997
948 653 999999990
51 654 999999998
918 655 999999997
491 656 999999991
325 657 999999999
972 658 999999992
185 659 999999997
955 660 999999997
100 661 999999994
788 662 999999999
252 663 999999991
684 664 999999997
290 665 999999996
538 666 1000000000
518 667 999999998
299 668 999999997
937 669 999999990
429 670 999999991
161 671 999999997
618 672 1000000000
872 673 999999994
594 674 999999992
426 675 999999996
801 676 999999991
605 677 999999993
829 678 999999995
748 679 999999995
905 680 999999999
991 681 999999993
696 682 999999999
641 683 999999998
755 684 999999991
888 685 999999998
621 686 999999991
348 687 999999998
265 688 999999998
833 689 999999996
741 690 999999991
478 691 999999992
893 692 999999992
627 693 999999994
810 694 999999990
166 695 999999996
119 696 999999998
127 697 999999992
348 698 999999991
86 699 999999990
615 700 999999994
238 701 999999990
823 702 999999990
342 703 999999991
364 704 999999994
465 705 999999993
867 706 999999995
683 707 1000000000
88 708 999999996
278 709 999999995
855 710 999999996
52 711 999999994
538 712 999999999
372 713 999999995
13 714 999999990
923 715 999999991
828 716 999999991
747 717 999999995
489 718 999999990
762 719 999999998
570 720 999999990
845 721 999999995
282 722 999999994
589 723 999999998
910 724 999999996
536 725 999999993
845 726 999999990
437 727 999999994
800 728 999999993
843 729 999999995
770 730 999999997
437 731 999999996
245 732 999999991
939 733 999999994
46 734 999999994
797 735 999999996
426 736 999999995
79 737 999999999
163 738 999999992
92 739 999999993
85 740 1000000000
480 741 999999994
247 742 999999993
155 743 999999996
733 744 999999997
624 745 999999999
309 746 999999994
755 747 999999993
711 748 999999991
403 749 999999999
480 750 999999994
750 751 999999998
457 752 999999996
689 753 999999992
165 754 999999994
491 755 999999992
28 756 999999996
596 757 999999990
863 758 999999990
770 759 999999993
800 760 999999991
889 761 1000000000
614 762 1000000000
282 763 999999995
15 764 999999997
282 765 999999997
466 766 999999998
836 767 999999992
557 768 999999990
385 769 999999998
935 770 999999999
378 771 999999999
921 772 999999997
871 773 999999994
902 774 999999991
703 775 999999992
338 776 999999995
732 777 999999997
482 778 1000000000
932 779 999999997
32 780 999999996
84 781 999999990
158 782 999999996
302 783 999999996
356 784 999999991
77 785 999999996
877 786 999999998
982 787 999999995
56 788 1000000000
160 789 999999995
905 790 999999994
685 791 999999999
5 792 999999990
770 793 1000000000
906 794 999999995
830 795 999999997
217 796 999999990
98 797 999999993
971 798 999999993
139 799 999999996
362 800 999999997
601 801 1000000000
741 802 999999992
127 803 999999993
304 804 999999992
418 805 999999994
188 806 999999990
832 807 1000000000
160 808 999999998
252 809 1000000000
452 810 999999999
741 811 999999995
621 812 999999999
265 813 999999997
359 814 999999999
413 815 999999999
22 816 999999995
108 817 999999993
462 818 999999994
719 819 999999998
43 820 999999990
478 821 999999996
489 822 999999991
478 823 999999998
896 824 999999994
957 825 999999997
906 826 999999993
354 827 999999998
801 828 999999991
581 829 999999995
747 830 999999999
656 831 999999994
557 832 999999997
278 833 999999993
641 834 999999997
939 835 999999998
906 836 999999994
457 837 999999993
601 838 999999994
808 839 999999992
528 840 999999993
3 841 999999997
485 842 999999992
605 843 1000000000
956 844 999999992
611 845 999999998
937 846 999999999
787 847 999999990
252 848 999999992
155 849 1000000000
956 850 999999990
826 851 999999997
357 852 999999993
165 853 999999995
649 854 999999991
396 855 999999996
282 856 999999990
492 857 999999994
475 858 999999992
276 859 999999993
494 860 999999998
302 861 999999990
1000 862 1000000000
119 863 999999997
590 864 999999991
656 865 999999995
53 866 999999998
49 867 999999990
252 868 999999995
512 869 999999993
430 870 999999995
563 871 999999991
420 872 999999993
166 873 999999990
127 874 999999992
349 875 1000000000
554 876 999999992
386 877 999999998
115 878 999999994
962 879 999999991
445 880 999999991
841 881 999999995
138 882 999999997
15 883 999999993
435 884 1000000000
939 885 999999993
911 886 999999991
597 887 999999995
411 888 999999996
479 889 999999999
3 890 999999997
711 891 999999996
381 892 999999994
513 893 999999992
222 894 999999994
215 895 999999990
995 896 999999992
528 897 999999997
411 898 999999990
832 899 999999993
739 900 999999990
296 901 999999997
832 902 999999997
674 903 999999996
480 904 999999995
427 905 999999998
691 906 1000000000
582 907 999999995
664 908 999999999
452 909 999999990
59 910 999999991
136 911 999999994
153 912 999999998
972 913 999999998
12 914 999999994
204 915 999999995
759 916 1000000000
956 917 999999998
899 918 999999996
480 919 999999992
311 920 999999998
98 921 1000000000
278 922 999999998
260 923 999999997
409 924 999999992
892 925 999999992
544 926 999999996
959 927 999999990
763 928 999999993
13 929 999999996
214 930 999999992
584 931 999999995
935 932 999999997
82 933 999999990
556 934 999999994
215 935 999999997
995 936 999999996
127 937 999999993
673 938 999999998
904 939 999999990
215 940 999999991
122 941 999999991
808 942 999999997
639 943 999999998
722 944 1000000000
413 945 1000000000
415 946 999999991
808 947 1000000000
459 948 999999995
710 949 999999997
56 950 999999998
908 951 999999992
536 952 999999992
247 953 999999991
21 954 999999990
517 955 999999992
788 956 1000000000
454 957 999999998
704 958 999999991
367 959 999999991
835 960 1000000000
890 961 999999995
513 962 999999998
406 963 999999997
908 964 999999991
661 965 999999996
536 966 999999997
201 967 999999997
840 968 999999997
669 969 999999997
465 970 999999998
279 971 999999995
44 972 999999997
731 973 999999992
704 974 999999993
31 975 999999994
464 976 999999996
783 977 999999990
426 978 1000000000
801 979 999999992
687 980 999999993
640 981 999999996
271 982 999999992
1 983 999999990
517 984 999999993
647 985 999999993
328 986 999999999
333 987 999999999
127 988 999999993
382 989 999999994
48 990 999999995
369 991 999999990
496 992 999999994
562 993 999999993
599 994 999999995
464 995 999999999
281 996 999999993
436 997 999999992
267 998 1000000000
758 999 999999990
547 1000 999999990
999999993 999999998
